"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","USD","A","1990",35.730784,
"AUS","GDPHRWKD","TOT","USD","A","1991",36.546269,
"AUS","GDPHRWKD","TOT","USD","A","1992",37.664349,
"AUS","GDPHRWKD","TOT","USD","A","1993",37.746736,
"AUS","GDPHRWKD","TOT","USD","A","1994",37.813005,
"AUS","GDPHRWKD","TOT","USD","A","1995",38.955595,
"AUS","GDPHRWKD","TOT","USD","A","1996",40.326461,
"AUS","GDPHRWKD","TOT","USD","A","1997",41.677636,
"AUS","GDPHRWKD","TOT","USD","A","1998",43.044958,
"AUS","GDPHRWKD","TOT","USD","A","1999",43.425111,
"AUS","GDPHRWKD","TOT","USD","A","2000",43.869865,
"AUS","GDPHRWKD","TOT","USD","A","2001",45.400274,
"AUS","GDPHRWKD","TOT","USD","A","2002",46.032114,
"AUS","GDPHRWKD","TOT","USD","A","2003",47.023466,
"AUS","GDPHRWKD","TOT","USD","A","2004",46.888629,
"AUS","GDPHRWKD","TOT","USD","A","2005",47.081365,
"AUS","GDPHRWKD","TOT","USD","A","2006",47.353935,
"AUS","GDPHRWKD","TOT","USD","A","2007",47.926485,
"AUS","GDPHRWKD","TOT","USD","A","2008",49.611302,
"AUS","GDPHRWKD","TOT","USD","A","2009",49.131656,
"AUS","GDPHRWKD","TOT","USD","A","2010",49.941602,
"AUS","GDPHRWKD","TOT","USD","A","2011",50.529238,
"AUS","GDPHRWKD","TOT","USD","A","2012",51.739396,
"AUS","GDPHRWKD","TOT","USD","A","2013",52.604528,
"AUS","GDPHRWKD","TOT","USD","A","2014",52.847529,
"AUS","GDPHRWKD","TOT","USD","A","2015",54.189065,
"AUS","GDPHRWKD","TOT","USD","A","2016",54.079711,
"AUS","GDPHRWKD","TOT","USD","A","2017",54.727318,
"AUS","GDPHRWKD","TOT","USD","A","2018",54.565444,"E"
"AUT","GDPHRWKD","TOT","USD","A","1995",50.965324,
"AUT","GDPHRWKD","TOT","USD","A","1996",51.007153,
"AUT","GDPHRWKD","TOT","USD","A","1997",51.453334,
"AUT","GDPHRWKD","TOT","USD","A","1998",53.391087,
"AUT","GDPHRWKD","TOT","USD","A","1999",54.366306,
"AUT","GDPHRWKD","TOT","USD","A","2000",55.640846,
"AUT","GDPHRWKD","TOT","USD","A","2001",56.345582,
"AUT","GDPHRWKD","TOT","USD","A","2002",57.43412,
"AUT","GDPHRWKD","TOT","USD","A","2003",57.876992,
"AUT","GDPHRWKD","TOT","USD","A","2004",59.019162,
